year,home_team,away_team,home_points,away_points,neutral,home_avg_rank,home_avg_points,away_avg_rank,away_avg_points,home_ppa_return,home_usage_return,away_ppa_return,away_usage_return,rank_diff,points_diff,ppa_return_diff,usage_return_diff,home_win
2014,Syracuse,Notre Dame,15,31,1,63.0,162.57999999999998,11.5,261.57,0.886,0.593,0.457,0.627,-51.5,-98.99000000000001,0.429,-0.03400000000000003,0
2014,Iowa State,Baylor,28,49,0,64.25,160.9975,34.25,201.98499999999999,0.792,0.788,0.822,0.738,-30.0,-40.98749999999998,-0.029999999999999916,0.050000000000000044,0
2014,Nebraska,Illinois,45,14,0,24.0,224.9475,53.0,175.60750000000002,0.556,0.666,0.262,0.387,29.0,49.339999999999975,0.29400000000000004,0.279,1
2014,Houston,UCF,12,17,0,60.25,166.695,69.75,150.095,0.84,0.884,0.442,0.334,9.5,16.599999999999994,0.39799999999999996,0.55,0
2014,Syracuse,Louisville,6,28,0,63.0,162.57999999999998,38.0,198.47750000000002,0.886,0.593,0.378,0.373,-25.0,-35.897500000000036,0.508,0.21999999999999997,0
2014,Oklahoma State,Iowa State,37,20,0,29.0,209.81500000000003,64.25,160.9975,0.431,0.472,0.792,0.788,35.25,48.817500000000024,-0.36100000000000004,-0.31600000000000006,1
2014,Mississippi State,Texas A&M,48,31,0,29.25,208.1175,18.75,237.70999999999998,0.91,0.737,0.227,0.28,-10.5,-29.592499999999973,0.683,0.45699999999999996,1
2014,Tennessee,Florida,9,10,0,16.25,245.5525,4.5,291.255,0.799,0.649,0.436,0.639,-11.75,-45.702499999999986,0.36300000000000004,0.010000000000000009,0
2014,Illinois,Purdue,27,38,0,53.0,175.60750000000002,59.5,166.63500000000002,0.262,0.387,0.862,0.748,6.5,8.972499999999997,-0.6,-0.361,0
2014,Maryland,Ohio State,24,52,0,41.0,191.6775,7.75,276.3325,0.879,0.946,0.62,0.571,-33.25,-84.65499999999997,0.259,0.375,0
2014,North Carolina,Virginia Tech,17,34,0,27.5,215.38500000000002,26.25,214.815,0.492,0.628,0.555,0.459,-1.25,0.5700000000000216,-0.06300000000000006,0.16899999999999998,0
2014,Northwestern,Wisconsin,20,14,0,59.0,170.21,48.75,180.06000000000003,0.742,0.647,0.468,0.617,-10.25,-9.850000000000023,0.27399999999999997,0.030000000000000027,1
2014,Texas,Baylor,7,28,0,6.25,282.69,34.25,201.98499999999999,0.538,0.565,0.822,0.738,28.0,80.70500000000001,-0.2839999999999999,-0.17300000000000004,0
2014,Florida State,Wake Forest,43,3,0,6.25,280.31,65.0,158.10999999999999,0.617,0.621,0.243,0.251,58.75,122.20000000000002,0.374,0.37,1
2014,TCU,Oklahoma,37,33,0,34.75,203.44000000000003,11.5,259.34499999999997,0.565,0.592,0.585,0.522,-23.25,-55.904999999999944,-0.020000000000000018,0.06999999999999995,1
2014,Notre Dame,Stanford,17,14,0,11.5,261.57,26.5,224.13500000000002,0.457,0.627,0.889,0.568,15.0,37.434999999999974,-0.432,0.05900000000000005,1
2014,Ole Miss,Alabama,23,17,0,25.0,229.08999999999997,1.75,303.83,0.625,0.749,0.574,0.589,-23.25,-74.74000000000001,0.051000000000000045,0.16000000000000003,1
2014,Clemson,NC State,41,0,0,18.0,244.79,54.25,174.33,0.288,0.288,0.24,0.337,36.25,70.45999999999998,0.04799999999999999,-0.049000000000000044,1
2014,West Virginia,Kansas,33,14,0,37.25,194.9325,58.5,166.255,0.704,0.683,0.77,0.322,21.25,28.67750000000001,-0.06600000000000006,0.36100000000000004,1
