year,home_team,away_team,home_points,away_points,spread,model_home_win_prob,model_pick_home,vegas_pick_home,model_correct,home_win
2022,Stanford,BYU,26,35,6.5,0.7758195322684402,1,0,0,0
2022,Kansas State,Kansas,47,27,-12.0,0.4987898132739345,0,1,0,1
2022,Miami,Pittsburgh,16,42,4.0,0.8415438332020003,1,0,0,0
2022,Boston College,Syracuse,23,32,10.5,0.5434483686628071,1,0,0,0
2022,USC,Notre Dame,38,27,-4.5,0.4461022240710592,0,1,0,1
2022,Texas A&M,LSU,38,23,10.0,0.5261100480297518,1,0,1,1
2022,Northwestern,Illinois,3,41,14.5,0.5374347809041087,1,0,0,0
2022,Arkansas,Ole Miss,42,27,1.0,0.6977861816208759,1,0,1,1
2022,Louisville,NC State,25,10,-4.0,0.4794659372450055,0,1,0,1
2022,West Virginia,Kansas State,31,48,8.0,0.5037810091783704,1,0,0,0
2022,Utah,Stanford,42,7,-24.0,0.48794727785148856,0,1,0,1
2022,Auburn,Texas A&M,13,10,-1.5,0.42494894837825714,0,1,0,1
2022,Wake Forest,North Carolina,34,36,-4.5,0.4228274029611146,0,1,1,0
2022,Oregon,Washington,34,37,-12.0,0.4801506658223353,0,1,1,0
2022,Texas Tech,Kansas,43,28,-3.5,0.4928795195412478,0,1,0,1
2022,Oklahoma State,Iowa State,20,14,2.5,0.745067954310497,1,0,1,1
2022,LSU,Ole Miss,45,20,0.0,0.8624912812437748,1,0,1,1
2022,Vanderbilt,Ole Miss,28,52,17.0,0.6043161896542076,1,0,0,0
2022,Kentucky,Mississippi State,27,17,3.5,0.5700435639431205,1,0,1,1
2022,Boston College,Louisville,34,33,13.5,0.5183682463104611,1,0,1,1
2022,UCF,Georgia Tech,27,10,-21.0,0.46887889284232276,0,1,0,1
2022,Michigan State,Minnesota,7,34,3.0,0.5105869251374164,1,0,0,0
2022,North Carolina,Notre Dame,32,45,-2.5,0.450395197670534,0,1,1,0
2022,Syracuse,Virginia,22,20,-9.5,0.47976888668064444,0,1,0,1
2022,Virginia Tech,West Virginia,10,33,2.0,0.5770858109300142,1,0,0,0
2022,LSU,Mississippi State,31,16,3.0,0.8021363267963322,1,0,1,1
